Time,Signal
0.0,nan
0.04,0.009723731056800909
0.08,-0.003832292403825876
0.12,-0.004174861004821835
0.16,0.023178936046415896
0.2,0.08955593718948723
0.24,0.010176440920062405
0.28,0.017068001786503
0.32,0.0038776177364850646
0.36,-0.044843021600743944
0.4,-0.074500584723755
0.44,-0.09046189344612553
0.48,-0.059571315995743716
0.52,-0.036916396264130694
0.56,-0.06508001659498334
0.6,-0.09803026801291755
0.64,-0.06590359556611564
0.68,-0.006398121265388422
0.72,0.1651730653710134
0.76,0.4459651659019262
0.8,0.7122411010025679
0.84,0.664598411150022
0.88,0.7139058718038312
0.92,0.7649530613738512
0.96,0.5538171388238994
1.0,0.42483088745335024
1.04,0.20089403084004595
1.08,-0.18311957275744817
1.12,-0.620407780029709
1.16,-1.0314488974369491
1.2,-1.2335152427514025
1.24,-1.177217587807672
1.28,-0.8797154859422559
1.32,-0.47841968679659436
1.36,-0.1913368043389089
1.4,-0.11456068926303364
1.44,-0.15179426028714374
1.48,-0.18730292502144347
1.52,-0.12689420238299196
1.56,0.01893945147712597
1.6,0.09719320667459522
1.64,0.1671452461896117
1.68,0.18225860837096866
1.72,0.214149337371239
1.76,0.2839771294573126
1.8,0.3611359478259141
1.84,0.4005774097818098
1.88,0.40359797474293485
1.92,0.37844036385663093
1.96,0.30879316345286484
2.0,0.22687356244816748
2.04,0.15982723569719431
2.08,0.12565113508530346
2.12,0.10634941844908372
2.16,0.0750212252510578
2.2,0.001666470456827295
2.24,-0.09919137498686886
2.28,-0.19252756916829936
2.32,-0.2547621248686145
2.36,-0.2856396894696909
2.4,-0.2965957062833574
2.44,-0.2836963265036803
2.48,-0.22864564826829367
2.52,-0.1089504202684637
2.56,0.06395518109815415
2.6,0.2217216427876358
2.64,0.2885534659110957
2.68,0.22449864668926955
2.72,0.07635409803398042
2.76,-0.06491267283538923
2.8,-0.14159052070356828
2.84,-0.1597874591812984
2.88,-0.15423978323536805
2.92,-0.12057459473731745
2.96,-0.057569017124465764
3.0,0.010495121717936838
3.04,0.038879812147797406
3.08,0.031465345385519414
3.12,0.022775351011589222
3.16,0.010084071993251106
3.2,0.01858990081308709
3.24,0.04196717250373873
3.28,0.07261127413429178
3.32,0.101724139831092
3.36,0.12246090909156053
3.4,0.12464154967801022
3.44,0.11487420624478183
3.48,0.10234451388178852
3.52,0.11550855973504219
3.56,0.13282018352105282
3.6,0.1604275854271024
3.64,0.16506148141862986
3.68,0.12427342349692198
3.72,0.05481774234014256
3.76,-0.013986404843481834
3.8,-0.05963596753009662
3.84,-0.09370271028628387
3.88,-0.14211560270089094
3.92,-0.2251388537868792
3.96,-0.3351237056938214
4.0,-0.4339799582919695
4.04,-0.4899668040087742
4.08,-0.46252809976590953
4.12,-0.36958073770389815
4.16,-0.28758658222620676
4.2,-0.21115824739382236
4.24,-0.14549390742746976
4.28,-0.08298985048616588
4.32,-0.001003941697002308
4.36,0.12319681805888531
4.4,0.2875226737430505
4.44,0.4462798330814157
4.48,0.5398225210028369
4.52,0.5100575684600381
4.56,0.4177855761181431
4.6,0.3026577201960084
4.64,0.22863903580288433
4.68,0.20299770580659104
4.72,0.18435037469619625
4.76,0.1296130982712223
4.8,0.023070072473896322
4.84,-0.08913233097933294
4.88,-0.1704845995931792
4.92,-0.20192759671179528
4.96,-0.2049411167532545
5.0,-0.21707433620572048
5.04,-0.24968280758961225
5.08,-0.2763837861648534
5.12,-0.2678510444737102
5.16,-0.2130917926945539
5.2,-0.14380076775188644
5.24,-0.09026546107259906
5.28,-0.059766426724119665
5.32,-0.040275111713234765
5.36,-0.014744216825235952
5.4,0.019702779576926864
5.44,0.05343772023261915
5.48,0.07573534316360155
5.52,0.08519253536948275
5.56,0.09425465142670157
5.6,0.12333773130093428
5.64,0.18637762965057203
5.68,0.2695696448732389
5.72,0.33937230059249407
5.76,0.36383082995110366
5.8,0.319065430825743
5.84,0.20254418529973586
5.88,0.047651159640268795
5.92,-0.09086078168129956
5.96,-0.16514559397015424
6.0,-0.16985579417466162
6.04,-0.13487529455313726
6.08,-0.09711131153437635
6.12,-0.07628803983363387
6.16,-0.07341291115113122
6.2,-0.08838154056275282
6.24,-0.11925660807598847
