,0,1,2
538,173,185,156
539,173,185,156
540,173,185,156
541,173,185,156
542,173,185,156
543,173,185,156
544,175,187,158
545,176,188,159
546,174,187,163
547,173,186,162
548,174,190,170
549,187,203,183
550,182,198,185
551,165,181,168
552,157,173,166
553,157,173,166
554,157,172,168
555,157,172,168
556,159,171,168
557,159,171,168
558,161,171,168
559,161,171,168
560,158,169,163
561,158,169,163
562,158,169,163
563,158,169,163
564,158,169,163
565,158,169,163
566,158,169,163
567,158,169,163
568,157,168,162
569,157,168,162
570,157,168,162
571,157,168,162
572,155,168,162
573,155,168,162
574,155,169,161
575,155,169,161
576,158,166,163
577,158,166,163
578,156,167,161
579,156,167,161
580,154,167,161
581,154,167,161
582,154,168,160
583,154,168,160
584,156,168,160
585,157,169,161
586,140,151,140
587,108,119,108
588,84,90,80
589,65,71,61
590,55,59,47
591,53,57,45
592,51,62,51
593,50,61,50
594,52,60,50
595,57,65,55
596,68,72,58
597,73,77,63
598,74,75,62
599,73,74,61
600,75,76,63
601,80,81,68
602,86,85,72
603,87,86,73
604,87,90,80
605,91,94,84
606,95,95,86
607,93,93,84
608,87,94,80
609,86,93,79
610,87,90,80
611,83,86,76
612,82,82,73
613,82,82,73
614,87,86,75
615,92,91,80
616,92,91,78
617,100,99,86
618,104,105,94
619,105,106,95
620,104,106,99
621,107,109,102
622,105,107,109
623,105,107,109
624,101,113,118
625,103,115,120
626,99,112,115
627,96,109,112
628,98,112,112
629,95,109,109
630,91,105,105
631,94,108,108
632,95,110,106
633,94,109,105
634,96,111,107
635,98,113,109
636,89,105,98
637,70,86,79
638,63,80,71
639,66,83,74
