,0
0,0.0037264371674781845
1,0.003153853025012321
2,0.0016187826308104306
3,-0.00034303036660487393
4,-0.0020242700871208837
5,-0.0029651465195316288
6,-0.0031524694939688057
7,-0.0029031286026891894
8,-0.002580376970252744
9,-0.002368008151732376
10,-0.002223256291343702
11,-0.001979525015275986
12,-0.001496895134359624
13,-0.0007738469756311787
14,2.3988814737456023e-05
15,0.0006321486624418796
16,0.0008299998700462784
17,0.0005789888089872598
18,5.329065306203229e-05
19,-0.00047616116391416453
20,-0.0008237119876199408
21,-0.0009918754021836851
22,-0.0011110845088633935
23,-0.0012719182470283458
24,-0.0013996316891449108
25,-0.0012842300526375431
26,-0.0007439207316720537
27,0.00021309881857632613
28,0.0013564682876700737
29,0.0023493027796979192
30,0.0029226587832866264
31,0.0029966175407575924
32,0.002688098826197359
33,0.0022155305632352057
34,0.0017602981121640077
35,0.0013671625019450466
36,0.0009510528830295784
37,0.00041196607090575484
38,-0.00023028489474724955
39,-0.0008029374773608413
40,-0.0010894171428745226
41,-0.000986270245886693
42,-0.0005640098825281204
43,1.3721762901910112e-05
44,0.000614550251448789
45,0.0011734410391582828
46,0.0016166731223621396
47,0.001780123958713956
48,0.00144564776734409
49,0.0005058173358875089
50,-0.0008733516991708281
51,-0.002257768267418323
52,-0.0031646210456330063
53,-0.003354145911876529
54,-0.0029684065749408994
55,-0.0024034294907089807
56,-0.0020147045816889006
57,-0.0018811607125715226
58,-0.0017921007617463765
59,-0.0014467137694722542
60,-0.0007114118954156138
61,0.0002447306241483704
62,0.0010282046866590426
63,0.0012662946856967713
64,0.000859426424142816
65,6.225264724967752e-05
66,-0.00067762114622789
67,-0.001017234525043311
68,-0.0009328348178166436
69,-0.0006874673205066281
70,-0.0005794236514393813
71,-0.0006741685674915046
72,-0.0007382858450172836
73,-0.00043625286736473823
74,0.00036240541205790803
75,0.0014203453364897095
76,0.002263850889311606
77,0.0025144404846390513
78,0.00215096511093383
79,0.0014905266553746363
80,0.0009191183318073518
81,0.0006083110999047565
82,0.00044543639060415835
83,0.00020650478900194165
84,-0.0002018440142587974
85,-0.0006420224368274163
86,-0.000854439235438142
87,-0.0006612037656322965
88,-8.826200644718465e-05
89,0.0006763133112827778
90,0.0014238383654461
91,0.0020342598964844154
92,0.002473923043041991
93,0.0027140272068228574
94,0.002671245239551213
95,0.002243451825385625
96,0.0014184578174262286
97,0.0003595123641445177
98,-0.0006197259702374954
99,-0.0011981203793972784
100,-0.0012255671223612738
101,-0.0008163430045128245
102,-0.00028086774200611976
103,7.191953363517592e-05
104,0.00012900599550567292
105,2.2709318753701828e-05
106,-4.025057099958176e-06
107,0.00018705881405547674
108,0.0005032347011987921
109,0.0006819367040221641
110,0.0004850601670906914
111,-0.00013204508867388842
112,-0.0010035744649160223
113,-0.001881952973577819
114,-0.0025930153622994064
115,-0.0030982893079487335
116,-0.0034405155680188493
117,-0.0036425000706194616
118,-0.0036455808775953547
119,-0.0033242209457495894
120,-0.0025625131922279933
121,-0.0013568107259811309
122,0.00010806204616357676
123,0.0014766146729081045
124,0.002364698794020165
125,0.0025550028216127967
126,0.0021065339214152608
127,0.0012962319994641
128,0.00044767648364794525
129,-0.0002222372760009385
130,-0.0006532421672988738
131,-0.000896793877737987
132,-0.00103368801875128
133,-0.001103501882407007
134,-0.0010742618832383373
135,-0.0008673984031856154
136,-0.0004294361476547937
137,0.0001963583349161421
138,0.0008610736215475116
139,0.0013854630279373974
140,0.0016668117311653965
141,0.0017290886264083715
142,0.001673587400144767
143,0.001576434148825272
144,0.0014281026456897216
145,0.0011698964195891429
146,0.0007890283211061764
147,0.0003763551714168646
148,8.618947357746469e-05
149,3.204652612303752e-05
150,0.00021202735988098988
151,0.0005254689200460408
152,0.0008544003289075289
153,0.0011264945130117184
154,0.0013033543201485735
155,0.0013225281728491557
