,0
0,0.004034165234197374
1,0.003743604612977908
2,0.002692592638958833
3,0.0015373613753374789
4,0.0008769775473049929
5,0.0008804025137431259
6,0.0012243045464479074
7,0.0013690577135111216
8,0.0009635341443762495
9,8.976382613243795e-05
10,-0.0008146702496073609
11,-0.0012787385943425727
12,-0.0011113971545502926
13,-0.00047812777030080465
14,0.00028505193979335206
15,0.0009393675026811185
16,0.0014738569646907734
17,0.002024253298813317
18,0.0026888062658289432
19,0.0034110016394822734
20,0.004006154353910291
21,0.00427351734805286
22,0.0040898862509676
23,0.003440311363214946
24,0.002411811025416001
25,0.0011802547855569914
26,-1.9969316717912182e-05
27,-0.0009681315033415717
28,-0.0015543572522100527
29,-0.0018333790127607425
30,-0.0019742008065207622
31,-0.0021244845182085284
32,-0.0022907991714227133
33,-0.0023368831364691967
34,-0.0021087870413652615
35,-0.001586392836893441
36,-0.00093418936303976
37,-0.00040444833833196066
38,-0.0001620220505312443
39,-0.00015766581942736
40,-0.000139195817005366
41,0.00020511657014560513
42,0.0010578114183333713
43,0.0023459282905475033
44,0.0037457195069294036
45,0.00481491660604741
46,0.005179522016632532
47,0.00467820020065557
48,0.0034099968279734496
49,0.001696425582059384
50,-1.2265135797446074e-05
51,-0.0012807917472241557
52,-0.0018673475718052448
53,-0.0018554224180760887
54,-0.001623209309057018
55,-0.0016211237195463029
56,-0.0020852284528731593
57,-0.0028907588194771274
58,-0.0036567754322736653
59,-0.004019566292951234
60,-0.0038629621740892857
61,-0.0033426077918617706
62,-0.0027233915917703713
63,-0.0021900622678304674
64,-0.0017651898671297473
65,-0.0013390801788784245
66,-0.0007424027522956118
67,0.00017636813186352234
68,0.0014652029852251515
69,0.0029954746616252235
70,0.0044624081722369965
71,0.005489764840566259
72,0.005786591116892783
73,0.005264031146266672
74,0.004060774787881657
75,0.002485788324341764
76,0.0009097620156344376
77,-0.0003633521439677536
78,-0.0012041897273990603
79,-0.0016934226849301451
80,-0.002047992817164394
81,-0.002456999769560902
82,-0.002923875232467759
83,-0.0032461286641439664
84,-0.0031846279824201203
85,-0.002708805171258482
86,-0.002102865100143259
87,-0.001806042451485556
88,-0.0020800039484374037
89,-0.002754440005654175
90,-0.003261119973166187
91,-0.002963306663022441
92,-0.0015739628020925796
93,0.0006197501836157157
94,0.002887965057551717
95,0.0044627593396670325
96,0.004941652598437857
97,0.004432619795200278
98,0.003388099355549072
99,0.0022870835449778134
100,0.0013856662605070658
101,0.0006636493470336495
102,-5.054006800405894e-05
103,-0.0008943388005750226
104,-0.001852391277282577
105,-0.002763439993689254
106,-0.003420128712723873
107,-0.0036793484160291628
108,-0.0035190612351974006
109,-0.0030335489705733826
110,-0.0023941067031726364
111,-0.0017898626541223476
112,-0.0013420215100914466
113,-0.0010090332690978266
114,-0.0005573443472654397
115,0.0003217198175902498
116,0.0017701373345512025
117,0.0035616001110416935
118,0.005135950217837061
119,0.005900311060655294
120,0.005592282564979416
121,0.004431908915434682
122,0.0029647876137970743
123,0.0017372656708814296
124,0.0010260679497580626
