epoch,DBP_loss,DBP_mae,SBP_loss,SBP_mae,loss,val_DBP_loss,val_DBP_mae,val_SBP_loss,val_SBP_mae,val_loss
0,2.456240177154541,1.2275465726852417,4.054467678070068,1.5581226348876953,6.510703086853027,28.07452964782715,4.075254440307617,55.72746276855469,5.679694175720215,83.80203247070312
1,2.1408631801605225,1.1417332887649536,3.4018733501434326,1.4453932046890259,5.542736530303955,27.279253005981445,4.067473411560059,52.60050964355469,5.517920970916748,79.8797607421875
2,2.026911497116089,1.1127828359603882,3.228152275085449,1.398557186126709,5.255063533782959,28.143571853637695,4.0415215492248535,55.95780563354492,5.785020351409912,84.10136413574219
3,1.849538803100586,1.0600230693817139,2.925271511077881,1.3361232280731201,4.774812698364258,28.51883316040039,4.116098403930664,54.178611755371094,5.527458667755127,82.69742584228516
4,1.7092312574386597,1.0204558372497559,2.6811163425445557,1.2712212800979614,4.390344142913818,28.421205520629883,4.111133098602295,53.410919189453125,5.592655658721924,81.83212280273438
5,1.555788278579712,0.973313570022583,2.4701831340789795,1.224686861038208,4.025972366333008,27.534954071044922,4.032237529754639,53.58938980102539,5.537384033203125,81.12435913085938
6,1.4785104990005493,0.9470120072364807,2.341651439666748,1.1900039911270142,3.820160388946533,27.38951873779297,3.9718456268310547,52.60471725463867,5.535155296325684,79.99424743652344
7,1.319254994392395,0.8995824456214905,2.075408458709717,1.1258704662322998,3.3946642875671387,27.205503463745117,3.9973599910736084,52.683712005615234,5.522677421569824,79.88924407958984
8,1.2837313413619995,0.8833313584327698,2.0706775188446045,1.1228992938995361,3.354407787322998,27.349838256835938,3.985107898712158,53.602813720703125,5.532424449920654,80.95266723632812
9,1.2696661949157715,0.8772562146186829,1.9692718982696533,1.0891221761703491,3.2389354705810547,27.45200538635254,4.037681579589844,52.38543701171875,5.439145088195801,79.83744049072266
