epoch,DBP_loss,DBP_mae,SBP_loss,SBP_mae,loss,val_DBP_loss,val_DBP_mae,val_SBP_loss,val_SBP_mae,val_loss
0,31.723522186279297,4.204870700836182,54.40620803833008,5.582467079162598,86.12977600097656,28.42413330078125,4.143802165985107,57.04620361328125,5.820366382598877,85.4703369140625
1,14.286079406738281,2.932704448699951,20.590044021606445,3.5036747455596924,34.87615966796875,30.678985595703125,4.3702616691589355,66.55530548095703,6.366311550140381,97.23429870605469
2,8.197711944580078,2.2618370056152344,10.564667701721191,2.5532095432281494,18.76239013671875,28.661136627197266,4.163286209106445,59.288597106933594,5.909240245819092,87.94976043701172
3,5.912317752838135,1.9196577072143555,7.976326942443848,2.2194032669067383,13.888639450073242,29.54032325744629,4.229040622711182,61.9388542175293,6.128766059875488,91.47918701171875
4,4.365068435668945,1.6541361808776855,6.234602451324463,1.9666481018066406,10.599669456481934,31.232057571411133,4.357113838195801,61.75944900512695,6.067882061004639,92.99152374267578
5,3.663858413696289,1.5104520320892334,5.506233215332031,1.8363879919052124,9.170093536376953,29.78007698059082,4.250077247619629,57.371395111083984,5.878791809082031,87.1514663696289
6,3.2052109241485596,1.4100652933120728,4.896752834320068,1.7424132823944092,8.101964950561523,28.85910987854004,4.154535293579102,56.36287307739258,5.726764678955078,85.22196197509766
7,2.8477089405059814,1.319369912147522,4.517044544219971,1.6578232049942017,7.3647565841674805,28.315641403198242,4.093672752380371,56.97240447998047,5.783829212188721,85.28807830810547
8,2.4902989864349365,1.240625262260437,3.8910045623779297,1.5505934953689575,6.381303787231445,28.248973846435547,4.195951461791992,57.28730773925781,5.810836315155029,85.53630065917969
9,2.320323944091797,1.201918363571167,3.706779718399048,1.5147839784622192,6.02710485458374,27.487903594970703,4.091049671173096,55.25313949584961,5.757390975952148,82.74104309082031
